x,Cp
0.0025,-0.251169872
0.0125,-0.049636182
0.0225,0.018921891
0.0325,0.061873216
0.0425,0.093872782
0.0525,0.119691035
0.0625,0.141472772
0.0725,0.160369414
0.0825,0.177073226
0.0925,0.192034501
0.1025,0.205563551
0.1125,0.217883847
0.1225,0.229161961
0.1325,0.239525514
0.1425,0.249074473
0.1525,0.257888564
0.1625,0.266032298
0.1725,0.273558478
0.1825,0.280510702
0.1925,0.286925187
0.2025,0.292832112
0.2125,0.298256624
0.2225,0.303219588
0.2325,0.307738142
0.2425,0.311826105
0.2525,0.315494249
0.2625,0.318750466
0.2725,0.321599815
0.2825,0.324044463
0.2925,0.326083475
0.3025,0.327712429
0.3125,0.328922774
0.3225,0.329700792
0.3325,0.330025908
0.3425,0.32986784
0.3525,0.329181457
0.3625,0.327896559
0.3725,0.325894021
0.3825,0.32293162
0.3925,0.318137032
0.4025,0.311987401
0.4125,0.30684686
0.4225,0.303190347
0.4325,0.300144076
0.4425,0.29746378
0.4525,0.295027606
0.4625,0.292761885
0.4725,0.290617244
0.4825,0.288558331
0.4925,0.286558615
0.5025,0.284597464
0.5125,0.282658369
0.5225,0.280727805
0.5325,0.278794459
0.5425,0.276848697
0.5525,0.274882174
0.5625,0.27288755
0.5725,0.270858274
0.5825,0.268788413
0.5925,0.266672522
0.6025,0.264505535
0.6125,0.262282679
0.6225,0.259999398
0.6325,0.257651291
0.6425,0.255234057
0.6525,0.252743443
0.6625,0.2501752
0.6725,0.247525038
0.6825,0.244788585
0.6925,0.241961344
0.7025,0.239038649
0.7125,0.236015623
0.7225,0.232887125
0.7325,0.2296477
0.7425,0.226291517
0.7525,0.222812306
0.7625,0.219203276
0.7725,0.215457029
0.7825,0.211565453
0.7925,0.207519595
0.8025,0.203309509
0.8125,0.198924071
0.8225,0.194350748
0.8325,0.189575312
0.8425,0.184581473
0.8525,0.179350411
0.8625,0.173860161
0.8725,0.168084796
0.8825,0.161993317
0.8925,0.155548102
0.9025,0.148702705
0.9125,0.14139859
0.9225,0.133560143
0.9325,0.125086658
0.9425,0.115838725
0.9525,0.105613291
0.9625,0.094093193
0.9725,0.080729189
0.9825,0.064391976
0.9925,0.04161881
